company_id,company_market_id,company_name,is_dead_company,is_fake_company,is_geo_enabled_company,is_shiftgig_company,is_status_company,tenant_id,updated
2763,1,Compass | Morrison | The Merion,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3732,6,Gigzolo Inc.,false,false,true,false,true,1,2018-03-27T12:26:49.526134
2015,8,Trump National Doral,false,false,true,false,true,1,2017-10-30T15:10:47.310161
2832,10,Flick Dining  | Out of Door Academy Lower School,false,false,false,false,true,1,2017-09-21T20:00:53.065618
183,1,Sodexo | Transunion,false,false,false,false,true,1,2017-09-21T20:00:53.065618
208,1,Aramark | UofC Medical,false,false,false,false,true,1,2017-09-21T20:00:53.065618
2518,10,Cafe Gabbiano,false,false,false,false,true,1,2017-09-21T20:00:53.065618
3448,22,Driscoll's Superstore Houston,false,true,false,false,true,3,2017-10-27T19:08:11.228308
2911,13,Marriott Intl | Gaylord Opryland Resort | Catering F&B,false,false,false,false,true,1,2017-09-21T20:00:53.065618
85,1,Kosher Gourmet,false,false,false,false,true,1,2017-09-21T20:00:53.065618
